City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Dudinka,RU,69.4058,86.1778,37.87,93,100,27.74,moderate rain
307,Lakhdenpokhya,RU,61.5198,30.1992,53.82,45,13,2.62,few clouds
308,Smithville,US,39.3869,-94.5811,64.92,53,90,6.87,overcast clouds
309,Avera,US,33.194,-82.5271,76.71,52,49,7.96,scattered clouds
310,Saint-Augustin,CA,51.226,-58.6502,60.51,31,0,7.9,clear sky
311,Guerrero Negro,MX,27.9769,-114.0611,63.82,66,30,15.19,scattered clouds
312,Praia,CV,14.9215,-23.5087,82.94,54,20,16.11,few clouds
313,Sorkjosen,NO,69.8,20.9333,48.2,57,75,10.36,broken clouds
314,Balykshi,KZ,47.0667,51.8667,80.6,50,40,20.13,scattered clouds
315,Yashan,CN,22.1975,109.9419,80.24,89,100,2.68,overcast clouds
316,Hackettstown,US,40.854,-74.8291,49.23,88,100,9.1,light rain
317,Lipari,IT,38.4674,14.954,75.34,62,49,2.57,scattered clouds
318,Hay River,CA,60.8156,-115.7999,42.67,70,100,7.63,overcast clouds
319,Passo De Camaragibe,BR,-9.2368,-35.4901,81.95,79,99,8.39,overcast clouds
320,Atkinson,US,42.8384,-71.147,49.19,86,90,1.99,overcast clouds
321,Taranagar,IN,28.6709,75.0351,98.13,19,77,7.96,broken clouds
322,Marsh Harbour,BS,26.5412,-77.0636,79.63,73,3,13.56,clear sky
323,Inirida,CO,3.8653,-67.9239,73.89,95,100,2.57,overcast clouds
324,Ieud,RO,47.678,24.234,52.56,87,98,3.0,overcast clouds
325,Bachaquero,VE,9.9694,-71.1494,85.8,67,89,9.17,overcast clouds
326,Tiksi,RU,71.6872,128.8694,30.87,95,6,7.85,clear sky
327,Bella Union,UY,-30.2752,-57.6007,57.72,48,0,5.75,clear sky
328,Makakilo City,US,21.3469,-158.0858,71.92,84,75,5.75,broken clouds
329,Banfora,BF,10.6333,-4.7667,98.8,30,46,2.53,scattered clouds
330,Ortega,CO,3.9361,-75.2217,79.61,81,93,3.96,overcast clouds
331,Honiara,SB,-9.4333,159.95,76.33,89,54,3.62,broken clouds
332,Rawson,AR,-43.3002,-65.1023,43.09,65,75,13.65,broken clouds
